address,totalVSCPackets,effectedVSCPackets
cosmos1sh6lgdhwmg0rr03te2lsyu88n0mlmryvcru7rf,3106,2952
cosmos12r78c0jlsfxt928p6cz2rfq9pjj0tv9kd9rpjv,2468,2468
cosmos1rwsq4kwraq5nxq26fnhstdwnlhjmdfjz92zdmk,2242,2242
cosmos14xwghh60fzzmdnmjqu6c86kg79869vec7hnu4j,2064,2064
cosmos1hdnp2r03cmxemq5qjyn6gnzq423uxzvmkn4h9t,1493,1493
cosmos149nfuveshlx7g7g5z8rngc8dagl0jv2cjtew9v,1270,1270
cosmos1v9h8khslmdv6j8e0w7zht0626e8fv7cjqs453c,1012,1012
cosmos192x4y32940sc2ekavaufha4ywh0qtr9xw4hewx,884,884
cosmos1jqvj2zfvywdwyn2tr2c0etfeyjj86ezd8dkl0n,808,808
cosmos1jcnqsj6efzcmxe7rx22wsym5lulh3sppzkst2h,578,578
cosmos1f9k0728rcngqj7p2eeqk27v8dw5sw5ccydx77j,461,461
cosmos128nn45tjxsux6fl2x0uez3gcjhp05yxjw8tqty,402,402
cosmos1r7uyvp8gsyrp60x5a6tjxnf6e9pdg9jqzglr3f,240,240
cosmos1nl3q6ymx5vqzdwr4lst3yvwt8pqlshfl3xzsxs,127,127
cosmos1qlmk6r5w5taqrky4ycur4zq6jqxmuzr6znr7dj,109,109
cosmos1mvk750megqdqc6eyv2sjnyxkcda3jx2395c4nf,102,84
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,88,84
cosmos1ctprl2u2pgcdlc07r9wzkx3jj036v2lh56ykvf,63,63
cosmos1uytq4m0yugh5ft5q567y9s798h3m06zwu8nl7p,57,57
cosmos1p2q4d3qpfdt4j3h45gd4grq0zj5e92zmgjhnwa,48,46
cosmos1v7726cex3q0cq5h45we46dq4pa8aezf7gyvwnh,26,25
cosmos1sw2cuffwlzndfs57czj29ttxrxtsgz9w2th2tu,11,11
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,4,4
cosmos1cl2k6danjnq5fdvdkpq3d6w5pd9d0z4nsglnf9,2,2
