address,totalVSCPackets,effectedVSCPackets
cosmos1x3ds46zredsuqh6nlcp8pxy62apt0zl2aa2x7c,4599,4531
cosmos1zle48pm0knwpdevl2fl2ay2pk3dq5c07r9fk73,3239,3208
cosmos16c4jzlqd59kssz2rycfjt7q8xp2nsfzphdfsn4,2040,1984
cosmos1r08ddpyv58e0r94r5u3wtvhf3qmtmvzagkyy22,1794,1772
cosmos149nfuveshlx7g7g5z8rngc8dagl0jv2cjtew9v,1623,1605
cosmos1v7726cex3q0cq5h45we46dq4pa8aezf7gyvwnh,1508,1490
cosmos192x4y32940sc2ekavaufha4ywh0qtr9xw4hewx,1350,1323
cosmos1rwsq4kwraq5nxq26fnhstdwnlhjmdfjz92zdmk,1249,1223
cosmos1sh6lgdhwmg0rr03te2lsyu88n0mlmryvcru7rf,1060,1032
cosmos1hdnp2r03cmxemq5qjyn6gnzq423uxzvmkn4h9t,934,918
cosmos14476h4xtmxqre0rpelcv5fqmtvnfda7p4fppnq,775,753
cosmos1krrxd6pslcl4xt08y72dz8xs40j2cae38jt700,722,717
cosmos1c3sgn6xg8lr48ah8kds40xvru5f8j0vs0ewryg,667,667
cosmos1mxves3jchrjertqjlrgypzlfwrd4v626nd4n37,463,458
cosmos1hyttf6mvwak5xkrnun40uh46jrhn38njdpxdwj,332,327
cosmos1375lry8y8g6lpf8k9en09fgdwwv987ytrlfvgt,311,301
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,270,268
cosmos1p7d8mnjttcszv34pk2a5yyug3474mhffasa7tg,244,244
cosmos1w2f2lyz0nkth5j0zqhspryeguapgmas9gefjcm,235,230
cosmos1p2q4d3qpfdt4j3h45gd4grq0zj5e92zmgjhnwa,233,232
cosmos1qlmk6r5w5taqrky4ycur4zq6jqxmuzr6znr7dj,229,220
cosmos1jhnap89pyxmm3uuzg9hvph3rk8am5cp6ad4meh,214,211
cosmos1auqwystavvfyslllf3tp56ekj0ad4vsfpnxf8x,204,203
cosmos12mjplz0nuv0lnlc3zxu3nhhlecv55t2vltuggl,147,143
cosmos104a39tctqk8zurpaff9ktcxn02xluxh5ncls8n,144,144
cosmos1f9k0728rcngqj7p2eeqk27v8dw5sw5ccydx77j,114,114
cosmos1ctprl2u2pgcdlc07r9wzkx3jj036v2lh56ykvf,102,99
cosmos14m4qf4zwvhhfvwmzgkth9ympnqx5wsx5ppsayw,91,89
cosmos1ettes35du4un23gz0jp2gjgv3xrazt3l95pm5k,87,81
cosmos1dftsfeuhm4y5tz03250fw42vyjmtqnvvk377qs,63,62
cosmos1sw2cuffwlzndfs57czj29ttxrxtsgz9w2th2tu,42,39
cosmos1vqsxcvgvd7nex8ex06enm6vuyrkjkuwg9clh3w,41,35
cosmos1uytq4m0yugh5ft5q567y9s798h3m06zwu8nl7p,30,30
cosmos1mn5q7zkpc2ztmy5g62csfctredcpvr3t204gr0,28,28
cosmos1ra2l6ftxenajvzx0asa3d3e8w7a9sxrjw0jyq7,21,21
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,20,20
cosmos1j6d87t7ynqtq6us45nyqzjkvem2zz902vqajxy,9,9
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,8,6
cosmos15gf7yh8p3pg8s2nn07avx7wuhx85zqugmel2nw,7,7
cosmos1ll3s59aawh0qydpz2q3xmqf6pwzmj24tdryy32,5,5
cosmos13h5uah3yt7n2d9zjy04esmsa4ezuuj8vg4hhad,2,2
cosmos1cnvqk4p4zrc6p8hhts2wmssrhzfwykvvd0v6qr,1,1
cosmos12z6zvc53yx2794lqkr7alhwtml3xzc6n294j75,1,1
cosmos16uuecghylpqpv3hf9vghyk27ylvssqleg3hjqu,1,1
cosmos1a8ed3cde2c777fgajhewjr6xa6cz32f7gm60n0,1,1
